,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id110,110,20,317145,387785,-71.11690521240234,42.37249564598936,-71.11656188964844,42.37224200585402
id111,111,20,317145,387786,-71.11690521240234,42.37224200585402,-71.11656188964844,42.3719883646944
id112,112,20,317146,387771,-71.11656188964844,42.376046500333125,-71.11621856689453,42.375792874537936
id113,113,20,317146,387772,-71.11656188964844,42.375792874537936,-71.11621856689453,42.37553924771845
id114,114,20,317146,387773,-71.11656188964844,42.37553924771845,-71.11621856689453,42.37528561987466
id115,115,20,317146,387774,-71.11656188964844,42.37528561987466,-71.11621856689453,42.37503199100657
id116,116,20,317146,387775,-71.11656188964844,42.37503199100657,-71.11621856689453,42.37477836111418
id117,117,20,317146,387776,-71.11656188964844,42.37477836111418,-71.11621856689453,42.3745247301975
id118,118,20,317146,387777,-71.11656188964844,42.3745247301975,-71.11621856689453,42.374271098256514
id119,119,20,317146,387778,-71.11656188964844,42.374271098256514,-71.11621856689453,42.37401746529124
id120,120,20,317146,387779,-71.11656188964844,42.37401746529124,-71.11621856689453,42.37376383130166
id121,121,20,317146,387780,-71.11656188964844,42.37376383130166,-71.11621856689453,42.37351019628779
id122,122,20,317146,387781,-71.11656188964844,42.37351019628779,-71.11621856689453,42.37325656024962
id123,123,20,317146,387782,-71.11656188964844,42.37325656024962,-71.11621856689453,42.373002923187165
id124,124,20,317146,387783,-71.11656188964844,42.373002923187165,-71.11621856689453,42.37274928510041
id125,125,20,317146,387784,-71.11656188964844,42.37274928510041,-71.11621856689453,42.37249564598936
id126,126,20,317146,387785,-71.11656188964844,42.37249564598936,-71.11621856689453,42.37224200585402
id127,127,20,317146,387786,-71.11656188964844,42.37224200585402,-71.11621856689453,42.3719883646944
id128,128,20,317147,387771,-71.11621856689453,42.376046500333125,-71.11587524414062,42.375792874537936
id129,129,20,317147,387772,-71.11621856689453,42.375792874537936,-71.11587524414062,42.37553924771845
id130,130,20,317147,387773,-71.11621856689453,42.37553924771845,-71.11587524414062,42.37528561987466
id131,131,20,317147,387774,-71.11621856689453,42.37528561987466,-71.11587524414062,42.37503199100657
id132,132,20,317147,387775,-71.11621856689453,42.37503199100657,-71.11587524414062,42.37477836111418
id133,133,20,317147,387776,-71.11621856689453,42.37477836111418,-71.11587524414062,42.3745247301975
id134,134,20,317147,387777,-71.11621856689453,42.3745247301975,-71.11587524414062,42.374271098256514
id135,135,20,317147,387778,-71.11621856689453,42.374271098256514,-71.11587524414062,42.37401746529124
id136,136,20,317147,387779,-71.11621856689453,42.37401746529124,-71.11587524414062,42.37376383130166
id137,137,20,317147,387780,-71.11621856689453,42.37376383130166,-71.11587524414062,42.37351019628779
id138,138,20,317147,387781,-71.11621856689453,42.37351019628779,-71.11587524414062,42.37325656024962
id139,139,20,317147,387782,-71.11621856689453,42.37325656024962,-71.11587524414062,42.373002923187165
id140,140,20,317147,387783,-71.11621856689453,42.373002923187165,-71.11587524414062,42.37274928510041
id141,141,20,317147,387784,-71.11621856689453,42.37274928510041,-71.11587524414062,42.37249564598936
id142,142,20,317147,387785,-71.11621856689453,42.37249564598936,-71.11587524414062,42.37224200585402
id143,143,20,317147,387786,-71.11621856689453,42.37224200585402,-71.11587524414062,42.3719883646944
id144,144,20,317148,387771,-71.11587524414062,42.376046500333125,-71.11553192138672,42.375792874537936
id145,145,20,317148,387772,-71.11587524414062,42.375792874537936,-71.11553192138672,42.37553924771845
id146,146,20,317148,387773,-71.11587524414062,42.37553924771845,-71.11553192138672,42.37528561987466
id147,147,20,317148,387774,-71.11587524414062,42.37528561987466,-71.11553192138672,42.37503199100657
id148,148,20,317148,387775,-71.11587524414062,42.37503199100657,-71.11553192138672,42.37477836111418
id149,149,20,317148,387776,-71.11587524414062,42.37477836111418,-71.11553192138672,42.3745247301975
id150,150,20,317148,387777,-71.11587524414062,42.3745247301975,-71.11553192138672,42.374271098256514
id151,151,20,317148,387778,-71.11587524414062,42.374271098256514,-71.11553192138672,42.37401746529124
id152,152,20,317148,387779,-71.11587524414062,42.37401746529124,-71.11553192138672,42.37376383130166
id153,153,20,317148,387780,-71.11587524414062,42.37376383130166,-71.11553192138672,42.37351019628779
id154,154,20,317148,387781,-71.11587524414062,42.37351019628779,-71.11553192138672,42.37325656024962
id155,155,20,317148,387782,-71.11587524414062,42.37325656024962,-71.11553192138672,42.373002923187165
id156,156,20,317148,387783,-71.11587524414062,42.373002923187165,-71.11553192138672,42.37274928510041
id157,157,20,317148,387784,-71.11587524414062,42.37274928510041,-71.11553192138672,42.37249564598936
id158,158,20,317148,387785,-71.11587524414062,42.37249564598936,-71.11553192138672,42.37224200585402
id159,159,20,317148,387786,-71.11587524414062,42.37224200585402,-71.11553192138672,42.3719883646944
id160,160,20,317149,387771,-71.11553192138672,42.376046500333125,-71.11518859863281,42.375792874537936
id161,161,20,317149,387772,-71.11553192138672,42.375792874537936,-71.11518859863281,42.37553924771845
id162,162,20,317149,387773,-71.11553192138672,42.37553924771845,-71.11518859863281,42.37528561987466
id163,163,20,317149,387774,-71.11553192138672,42.37528561987466,-71.11518859863281,42.37503199100657
id164,164,20,317149,387775,-71.11553192138672,42.37503199100657,-71.11518859863281,42.37477836111418
id165,165,20,317149,387776,-71.11553192138672,42.37477836111418,-71.11518859863281,42.3745247301975
id166,166,20,317149,387777,-71.11553192138672,42.3745247301975,-71.11518859863281,42.374271098256514
id167,167,20,317149,387778,-71.11553192138672,42.374271098256514,-71.11518859863281,42.37401746529124
